design	f_GHz	W_um	S_um	S_sig_um	L_mm	L_sig_mm	tm_um	tm_sig_um	Rs_Ohm_sq	u_Np	u_sig_Np	gain_to_u1
NanoVNA-FMR	5.0	1030.0	95.00	39.26	10.00	3.98	10.0012	1.0023	0.0250	0.0301	0.0137	12.60
NIST interferom.	10.0	360.0	33.19	13.68	10.02	3.00	10.0005	1.0007	0.0370	0.1078	0.0393	3.80
Commercial FMR	10.0	400.0	36.88	15.20	15.01	4.01	15.0002	1.0009	0.0370	0.1395	0.0467	3.03
Kostylev/Bailleul	15.0	450.0	41.53	17.12	14.99	3.99	14.9972	0.9957	0.0450	0.1552	0.0516	2.77
OpenFMR	10.0	180.0	125.00	0.00	5.00	1.99	18.0120	1.9991	0.0370	0.0376	0.0150	10.17
He/Panagopoulos	10.0	117.0	76.00	0.00	3.05	1.88	17.9999	1.9961	0.0370	0.0342	0.0211	11.14
Kalarickal	10.0	90.0	63.00	0.00	9.99	2.00	0.3598	0.0500	0.0580	0.3273	0.0657	1.56
NIST GCPW	20.0	100.0	58.62	8.45	5.01	1.99	0.1499	0.0499	0.1900	0.5614	0.2268	1.15
Schumacher/PTB	10.0	64.0	13.00	0.00	6.00	0.00	0.2150	0.0200	0.1170	0.9475	0.0088	1.00
Optimised (this work)	10.0	100.0	9.66	1.61	5.50	0.00	0.1000	0.0050	0.2460	1.8767	0.1543	1.28
